???, k, throughput, missrate
default, 100, 10144.644344, 0.988514
default, 2500, 11289.024293, 0.925288
default, 10000, 11954.727514, 0.859551
default, 100, 12730.794513, 0.802890
default, 250, 13337.567002, 0.727913
default, 1250, 15221.803940, 0.579603
default, 2500, 16323.280457, 0.510937
default, 10000, 18263.633679, 0.379530
default, 50000, 21306.873268, 0.209335
default, 75000, 22451.501132, 0.163667
default, 100000, 23350.126686, 0.127401
default, 150000, 24679.239312, 0.079613
default, 250000, 26441.124312, 0.032426